EmployeeID,DateOfHire,Department,JobProfile,JobType,JobTitle,Salary,MidpointWage,PerformanceGrade
2002184,26/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,2.77
1503012,24/03/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,3.33
150601,09/06/2015,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1656,1800,2.33
2002201,03/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,3.69
1608192,25/08/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,2.77
1712061,15/12/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,2.85
2112181,15/12/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,2.85
2205101,03/05/2022,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1656,1800,2.95
1911042,08/11/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,3.28
1810081,08/10/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1656,1904,3
2003102,02/03/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,1.85
2011121,19/11/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,3.69
1610133,15/10/2016,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1904,3.34
2209071,20/09/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1656,1800,2.6
1602071,22/02/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1674,1800,3
1401191,10/01/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1674,1800,2.6
1502191,07/02/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1674,1800,2.77
1910151,05/10/2019,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1674,1800,2.95
2012091,13/12/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1674,1800,3.52
2002153,25/02/2020,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1674,1800,2.33
2110041,08/10/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1674,1800,1.85
1908071,01/08/2019,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1674,1800,2.33
1909161,23/09/2019,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1674,1800,2.33
1912132,18/12/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,2.79
2207141,13/07/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,3
2310152,19/10/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,3
1710081,15/10/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,3.7
1908141,10/08/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,3.21
2210171,01/10/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1676,1904,2.79
2102191,09/02/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1692,1800,2.93
2102022,22/02/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1692,1800,3.69
1904162,15/04/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1692,1800,2.93
1902124,09/02/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1692,1800,3.28
2202051,25/02/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1695,1904,4
160502,14/05/2016,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1695,1904,3.34
1508032,22/08/2015,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1695,1904,2.38
1508131,07/08/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1710,1800,3.33
2001101,24/01/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1710,1800,1.85
1410032,10/10/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1710,1800,1.85
1409052,22/09/2014,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1710,1800,2.33
2207051,01/07/2022,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1710,1800,2.33
2012102,22/12/2020,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1710,1800,2.33
1803121,11/03/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1714,1904,3
1402012,16/02/2014,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1733,1904,3.05
1804042,24/04/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1733,1904,3.05
1902022,19/02/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1733,1904,3.21
1903024,18/03/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1733,1904,2.74
1606081,12/06/2016,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1733,1904,3.34
1911141,19/11/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,3.28
1804071,04/04/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,2.6
1402051,08/02/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,2.77
1511042,25/11/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,2.85
1507181,24/07/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,3
2009031,01/09/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,3.69
1402101,06/02/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,3.33
1512092,23/12/2015,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1746,1800,2.95
2305181,06/05/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,1.85
1902021,13/02/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,2.85
2110131,14/10/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1746,1800,2.85
1506051,06/06/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1752,1904,2.74
1908191,20/08/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1752,1904,3.05
190101,01/01/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1752,1904,2.74
2009072,25/09/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1752,1904,3.32
1601072,15/01/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1764,1800,2.85
1506062,03/06/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1764,1800,1.85
2003061,13/03/2020,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1764,1800,2.33
1705141,11/05/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1764,1800,3.28
1811171,20/11/2018,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1764,1800,2.33
170502,20/05/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1764,1800,2.6
2210201,15/10/2022,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1764,1800,2.95
2202072,19/02/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,3.21
1802011,17/02/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,2.79
1604181,25/04/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,3
1401052,07/01/2014,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,3
2002171,10/02/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,3.05
1908041,12/08/2019,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1771,1904,2.38
1904191,21/04/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1771,1904,3
2210121,20/10/2022,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1771,1904,2.38
2306121,02/06/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1782,1800,2.85
2103064,11/03/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1782,1800,3.33
2104031,24/04/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1782,1800,2.93
1909102,14/09/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1782,1800,3.52
2303032,16/03/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1782,1800,2.6
1809032,05/09/2018,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1782,1800,2.95
2111121,07/11/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1790,1904,3
2008121,22/08/2020,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1790,1904,2.38
2009051,21/09/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1790,1904,2.74
1705153,16/05/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1790,1904,3.05
1510061,20/10/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1790,1904,2.79
1904152,19/04/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1790,1904,3.7
2005151,12/05/2020,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1790,1904,2.38
2310073,24/10/2023,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1790,1904,2.38
141202,07/12/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1800,1800,3.52
2205131,07/05/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1800,1800,3.69
1801172,11/01/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1800,1800,4
2002122,17/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1800,1800,2.93
1903142,22/03/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,3.7
1902081,10/02/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,3.7
1512041,08/12/2015,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1809,1904,3.34
2302101,19/02/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,4
1801034,21/01/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,3
1808052,15/08/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,3.32
2103092,23/03/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,3
2008131,07/08/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1809,1904,2.74
2008112,17/08/2020,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1818,1800,2.95
2002161,01/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1818,1800,3.52
2009034,21/09/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1818,1800,3.33
2010032,13/10/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1818,1800,2.77
2101062,17/01/2021,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1818,1800,2.95
2002061,03/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1818,1800,3.52
1904021,22/04/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1818,1800,2.85
1706162,19/06/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1828,1904,2.79
2103191,19/03/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1828,1904,3
2206161,01/06/2022,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1828,1904,3.34
2001061,13/01/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1828,1904,3.21
160501,07/05/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1828,1904,3.05
170203,19/02/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1828,1904,3.05
2111013,23/11/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,3.28
2305042,23/05/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,3.33
2310142,18/10/2023,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1836,1800,2.33
1807121,09/07/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,2.93
2007072,21/07/2020,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1836,1800,2.33
220701,14/07/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,3.52
160902,19/09/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,2.85
2310132,16/10/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1836,1800,2.6
1511181,09/11/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1847,1904,3.7
2204183,16/04/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1847,1904,2.74
1912041,02/12/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1847,1904,3.32
2210072,24/10/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1854,1800,3.33
2202101,02/02/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1854,1800,4
1510121,01/10/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1854,1800,2.6
1910152,12/10/2019,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1854,1800,2.95
1402102,23/02/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1854,1800,3.33
1602191,11/02/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1866,1904,4
180702,02/07/2018,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1866,1904,2.38
1912031,24/12/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1866,1904,2.79
2003191,16/03/2020,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1866,1904,2.38
1707141,14/07/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,3
2010152,18/10/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,3.28
1408061,14/08/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,2.93
1504041,15/04/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,2.77
1807051,20/07/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,3
1702192,05/02/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,2.77
1907192,23/07/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1872,1800,3.69
2003021,16/03/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1885,1904,3.7
1911111,05/11/2019,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1885,1904,2.38
2208062,19/08/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1885,1904,2.74
1612031,15/12/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1885,1904,4
2111172,19/11/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1885,1904,3.32
2309061,21/09/2023,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1885,1904,3.34
1511061,22/11/2015,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1885,1904,3.34
1803151,17/03/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1885,1904,3
2001031,06/01/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,2.6
2112151,15/12/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3.33
2006152,19/06/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,4
2209041,08/09/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3.28
2108171,16/08/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3.52
2109093,11/09/2021,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,2.6
1707031,04/07/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3.28
2205022,25/05/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3.69
2112141,17/12/2021,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1890,1800,2.95
2212161,03/12/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,4
1812021,03/12/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1890,1800,3
1708112,14/08/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1904,1904,3
1904082,19/04/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1904,1904,4
1402173,23/02/2014,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1904,1904,3
1705053,25/05/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1904,1904,3
2302201,07/02/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1904,1904,4
1906121,14/06/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,4
1703021,11/03/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,3.69
2212111,07/12/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,2.77
1609081,07/09/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,3.52
1703151,19/03/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,1.85
2212201,03/12/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,4
1701081,05/01/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,2.77
1902031,07/02/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,4
1607111,06/07/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1908,1800,1.85
1704112,21/04/2017,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1923,1904,2.38
1711131,02/11/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1923,1904,2.74
1509182,14/09/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1923,1904,3
2304111,12/04/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1923,1904,3.7
2304062,11/04/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1923,1904,3.7
1806171,01/06/2018,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1923,1904,3.34
2010111,07/10/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1923,1904,3.05
1603113,18/03/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1926,1800,3.33
1405061,07/05/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1926,1800,4
1701101,22/01/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1926,1800,4
1808122,20/08/2018,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1926,1800,2.95
2205151,01/05/2022,Corporate,Individual Contributor,1. Entry Level,Accounting Associate I,1926,1800,2.95
1811161,11/11/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1926,1800,2.85
1506111,23/06/2015,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1926,1800,3
1807122,16/07/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3.7
2211061,09/11/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3.32
2004031,02/04/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,4
2203031,18/03/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3.7
1909111,02/09/2019,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1942,1904,3.34
1504103,18/04/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3.7
1509021,12/09/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3.21
1906073,24/06/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1942,1904,3
230201,19/02/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1944,1800,2.93
1601201,20/01/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1944,1800,3.28
1903102,11/03/2019,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,2.79
1607021,02/07/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,3.7
2106171,09/06/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,3
1803062,13/03/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,3
2307131,14/07/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,3.21
1402031,18/02/2014,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,4
2207021,05/07/2022,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1961,1904,3
2212071,02/12/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1962,1800,1.85
2002154,26/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1962,1800,2.85
1808061,15/08/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1962,1800,4
1909192,10/09/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1962,1800,2.77
1412051,25/12/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1962,1800,3.69
2002121,03/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,4
2002183,26/02/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,3.33
1911142,21/11/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,3.52
1605204,21/05/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1980,1904,3.32
2305182,23/05/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1980,1904,4
1612131,19/12/2016,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,3.28
2308011,01/08/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,2.93
1402184,16/02/2014,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1980,1800,2.33
1712171,20/12/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,3
180801,03/08/2018,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1980,1904,3
1710071,14/10/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,3
1704191,11/04/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1980,1800,2.6
230702,10/07/2023,Corporate,Individual Contributor,1. Entry Level,Finance Associate,1998,1800,2.33
2210082,21/10/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1998,1800,2.6
1402181,01/02/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1998,1800,3
1701111,21/01/2017,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1998,1800,3.28
1901022,18/01/2019,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,1998,1800,2.77
1512153,24/12/2015,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1999,1904,3.7
2005031,14/05/2020,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1999,1904,3
2006061,01/06/2020,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1999,1904,3.34
1812061,14/12/2018,Operations,Individual Contributor,1. Entry Level,Customer Service Associate,1999,1904,2.38
2303142,13/03/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1999,1904,3
2309104,09/09/2023,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,1999,1904,4
2011202,22/11/2020,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2016,1800,2.93
2201201,04/01/2022,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2016,1800,2.93
1403012,18/03/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2016,1800,3.33
1803111,09/03/2018,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2016,1800,1.85
2309011,05/09/2023,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2016,1800,2.6
1610191,06/10/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,2018,1904,2.74
1611071,02/11/2016,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,2018,1904,3
2107031,17/07/2021,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,2018,1904,3.32
1709162,16/09/2017,Operations,Individual Contributor,1. Entry Level,Business Analyst Associate,2018,1904,3.7
1406061,01/06/2014,Customer Service,Individual Contributor,1. Entry Level,Customer Service Associate,2034,1800,3.28
